,Air Pollution,Biodiversity,Carbon Removal,Climate Data,Climate Modeling and Predictions,Climate Risks Modeling,Energy Efficiency in Buildings,"Environmental, Social and Governance (ESG) and Disclosures",Greenhouse Gases Measurement and Tracking,Industry,N/A,Policy Advice and Knowledge Sharing,Renewable Energy and Grid Optimization,Support Renewable Energy Deployment,Transportation,No Predicted Label
Air Pollution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiversity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbon Removal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Climate Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Climate Modeling and Predictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Climate Risks Modeling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy Efficiency in Buildings,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Environmental, Social and Governance (ESG) and Disclosures",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenhouse Gases Measurement and Tracking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industry,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
N/A,1,1,0,1,6,1,4,1,1,1,5,1,0,1,8,0
Policy Advice and Knowledge Sharing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renewable Energy and Grid Optimization,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
Support Renewable Energy Deployment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No True Label,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
